name,ele,latitude,longitude,distance_to_straubing
Großeilberg,494,49.1491661,12.4664094,30.7
Hochoberndorfer Berg,806.7,48.8781394,12.9930559,30.7
Buchenhöhe,723,48.8929932,12.9925943,30.7
Schwenkberg,478,49.1471186,12.4539938,30.8
Scheuerberg,756,48.8847515,12.9960108,30.9
Hocheck,727,48.9371703,12.9870433,30.9
Plattenberg,499,49.1605332,12.5726461,31.0
Breitenberg,547,48.8377395,12.9948091,31.2
Hohe Wart,530,49.1443802,12.4209975,31.2
Hetzenbacher Höhe,,49.1338544,12.3858029,31.2
Kühberg,835,48.9215624,12.9990247,31.4
Steinberg,1000,48.9114981,13.00033,31.4
Gruberberg,502,49.165831,12.564916,31.6
Wacht,507,49.0869504,12.8743666,31.7
Vogelherd,461,49.1634261,12.6427222,31.7
Striegelberg,571,49.1274662,12.3501388,31.8
Schlossberg,565,49.1469943,12.4084945,31.8
Taubenberg,451,49.1653252,12.6337341,31.8
Geiselberg,550,49.1495669,12.421385,31.8
Giglberg,465,49.1661711,12.6246801,31.9
Geißriegel,1043,48.9033901,13.0081744,31.9
Blattenbigel,627,48.9663855,12.9915047,32.0
Wiltinger Höhe,477,49.1645289,12.6547004,32.0
Dangelsdorfer Berg,605,49.134784,12.3608031,32.1
Grubberg,583,49.1318309,12.3539731,32.1
Ochsenberg,535,49.1536031,12.423587,32.1
Helfenstein,,49.1495982,12.4085625,32.1
Füchsenbuhl,450,49.1689303,12.6103151,32.1
Faschaberg,478,49.1694064,12.6232848,32.2
Steinbichel,577,48.8619059,13.0130558,32.3
Geißberg,457,49.1720988,12.6050828,32.4
Streubügel,422,48.8041783,13.0002165,32.4
Tannberg,505,49.1565683,12.4201171,32.5
Oberberg,651,48.854748,13.0161365,32.5
Bügel,545,49.1528971,12.404009,32.6
Hammühlberg,535,49.1548264,12.4084512,32.7
Kühberg,768,48.9580523,13.0048406,32.7
Tragelberg,470,49.1707088,12.6533791,32.7
Kühberg,463,49.1770166,12.6099045,32.9
Dreitannenriegel,1092,48.8972514,13.022115,32.9
Hirtenberg,593,49.1387323,12.3472926,33.0
Pfahlhöhe,459,49.1744221,12.6542275,33.1
Hirschpertberg,,49.1345922,12.8143488,33.2
Eicherlberg,559,49.1556572,12.3917049,33.2
Kanzel,728,48.8461118,13.023963,33.2
Weinberg,432,49.1811291,12.6224771,33.5
Breitenauriegel,1114,48.906548,13.0300211,33.5
Bumsenberg,783,48.9577987,13.0167282,33.5
Kühberg,643,49.0394547,12.9645389,33.5
Furth,704,48.8544163,13.0312443,33.6
Einödriegel,1121,48.9281616,13.0277588,33.6
Eckenberg,483,49.1847478,12.559268,33.7
Riedberg,435,49.184648,12.5998858,33.7
Schützinger Berg,608.7,48.827204,13.0266154,33.7
Schergenhöhe,924,48.8819981,13.0343006,33.7
Birkenberg,457,49.1133141,12.8734666,33.8
Steinberg,582,49.1574218,12.3747272,33.9
Buchberg,687,48.9719171,13.0166549,33.9
Mühlberg,402,49.1851704,12.6160267,33.9
Irlberg,512,48.807016,13.0238237,34.0
Keilberg,476,49.039036,12.1722781,34.1
Schlottberg,434,48.7996521,13.0236965,34.2
Lindenberg,416,49.1890432,12.6005493,34.2
Geißkopf,1097,48.9240769,13.0374226,34.3
Teufelsmauer (bei Radling),447,49.1885842,12.6272772,34.4
Hirschenkopf,980,48.8912703,13.045932,34.6
Anhangberg,984,48.9036526,13.0453947,34.6
Rosenberg,871,48.9576042,13.0334777,34.7
Schloßberg,673,49.0614251,12.963937,34.8
Teufelsmauer,434,49.1944161,12.6166071,34.9
Keilstein,450,49.0326625,12.1541154,34.9
Geßinger Berg,562,48.840557,13.0479169,35.0
Tannenberg,798,48.8652723,13.0514789,35.0
Taschinger Berg,443,49.191984,12.6635456,35.1
Bornstein,818,48.9526445,13.0456657,35.4
Großer Pfaffenstein,515,49.1685707,12.3603203,35.5
Riederberg,,49.1416833,12.8551079,35.5
Pfahl (bei Ried am Pfahl),421,49.2005769,12.6034943,35.5
Steinberg,919,48.8882895,13.059622,35.6
Weißer Felsen,,49.1696152,12.7892431,35.7
Knogelberg,705,49.0607078,12.9799272,35.7
Distelberg,471,49.1935003,12.6957617,35.8
Achatsbuckel,518,49.1927235,12.7121142,36.0
Pfarrerberg,672,49.0586241,12.985393,36.0
Hermannschopf,824,48.9197435,13.0630651,36.1
Kleiner Riedstein,759,48.9133056,13.064332,36.1
Sauberg,406,49.2064463,12.5747447,36.1
Weinberg,404,49.2075918,12.5837736,36.2
Feldbühl,798,48.8494816,13.0659413,36.2
Hausstein,917,48.870936,13.0705657,36.4
Teufelstisch,901,48.9326754,13.064643,36.4
Steinbühl,542,48.8244547,13.0645895,36.5
Steinbühl,472,48.8115692,13.0607593,36.5
Traubenberg,519,49.2114371,12.5584931,36.7
Wimmesbichel,728,48.9007709,13.0736554,36.7
Schachel,751,48.9120858,13.0734837,36.7
Hohes Kreuz,,49.0084291,13.0372816,36.7
Hengersberg,382,48.7892448,13.0557489,36.8
Frauenberg,337,48.7723363,13.0475265,36.8
Vormittagberg,,49.0240768,13.0288273,36.9
Scheibenbühl,445,48.8350207,13.0727541,36.9
