name,ele,latitude,longitude,distance_to_straubing
Oberfrauenwald,945,48.6850001,13.6580499,82.4
Sulzberg,1146,48.8435733,13.6992756,82.5
Staffelberg,793,48.6510959,13.6513777,83.1
Hochstein,,48.764743,13.6948783,83.1
Zillberg,829,48.755216,13.7027891,83.9
Zielberg,,48.7406726,13.7053418,84.4
Stubenberg,812,48.7591014,13.7212919,85.2
Lichtenberg,1028,48.8380795,13.7399609,85.5
Ruhmannsberg,862,48.6474966,13.6858196,85.6
Spitzenberg,807,48.7505129,13.7272164,85.8
Fuchsenstein,759,48.7699484,13.7394357,86.3
Braunberg,706,48.7522121,13.7477277,87.2
Kühberg,855,48.623218,13.7082724,88.0
Klausgupf,929,48.7748578,13.771184,88.5
Großer Rathberg,899,48.656921,13.7444404,89.4
Habergrasberg,1235,48.785,13.78859,89.6
Rollmannsberg,1042,48.7958348,13.800833,90.4
Hochstein,1333,48.7847492,13.8027768,90.6
Dreisessel,1323,48.780679,13.8031771,90.7
Höpfelberg,727,48.7081245,13.7903125,91.2
Nanzelberg,692,48.6993217,13.8025613,92.3
Friedrichsberg,930,48.6545958,13.7963569,93.1
Ebenstein,586,48.5225288,13.7216404,93.3
Dreihiasl,654,48.6966004,13.8195811,93.6
Ponzaun,767,48.60153,13.7788112,93.7
Eidenberger Lusen,733,48.5727904,13.7841343,95.2
